k_value,strategy,mean,median,std,min,max,q25,q75
0,none,0.41242608,0.35161543,0.29656217,-3.5762787e-07,1.1111226,0.1749429702758789,0.6706944704055786
1,informed,0.011319036,0.0048080683,0.02339512,-2.3841858e-07,0.38599414,0.0020954012870788574,0.010019391775131226
1,random,0.01100265,0.005352974,0.023118343,-2.3841858e-07,0.38172042,0.002263367176055908,0.011299192905426025
2,informed,0.0066228504,0.003569305,0.011434227,-3.5762787e-07,0.3371582,0.0017001628875732422,0.007069110870361328
2,random,0.0074347635,0.0035217404,0.015766656,-2.3841858e-07,0.30965078,0.0018762648105621338,0.006952345371246338
3,informed,0.00541091,0.0028778315,0.009547077,-2.3841858e-07,0.26483893,0.0013982057571411133,0.005971431732177734
3,random,0.0058946656,0.0030640364,0.013230951,-2.3841858e-07,0.27512687,0.001483127474784851,0.0056915283203125
5,informed,0.004193543,0.0024175048,0.0071402336,-3.5762787e-07,0.27154815,0.0012037158012390137,0.004983246326446533
5,random,0.0040976536,0.002240777,0.0072682393,-2.3841858e-07,0.27960354,0.001192927360534668,0.0050843507051467896
10,informed,0.0029736382,0.0019064248,0.004847689,-2.3841858e-07,0.22421324,0.0009818226099014282,0.0035908520221710205
10,random,0.0027598664,0.0017453432,0.0059304675,-2.3841858e-07,0.2741238,0.0009592324495315552,0.003544032573699951
pretrained,none,0.22544722,0.18845159,0.18953675,-3.5762787e-07,0.96239376,0.07805705070495605,0.3316336125135422
