LineId,Content,EventId,EventTemplate
146,Aircraft braking.,177,Aircraft braking.
311,Aircraft braking.,177,Aircraft braking.
309,Aircraft braking.,177,Aircraft braking.
104,Aircraft braking.,177,Aircraft braking.
107,Aircraft braking.,177,Aircraft braking.
145,Aircraft braking.,177,Aircraft braking.
173,Aircraft braking.,177,Aircraft braking.
633,Aircraft braking.,177,Aircraft braking.
604,Aircraft braking.,177,Aircraft braking.
388,Aircraft braking.,177,Aircraft braking.
414,Aircraft braking.,177,Aircraft braking.
260,Aircraft braking.,177,Aircraft braking.
18,Aircraft braking.,177,Aircraft braking.
17,Aircraft braking.,177,Aircraft braking.
78,Aircraft braking.,177,Aircraft braking.
19,Aircraft braking.; Auto landing in progress.; Flight mode changed to Auto Landing.,136,Aircraft braking.; Auto landing in progress.; Flight mode changed to Auto Landing.
19,Aircraft braking.; Auto landing in progress.; Flight mode changed to Auto Landing.,136,Aircraft braking.; Auto landing in progress.; Flight mode changed to Auto Landing.
261,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.,33,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.
60,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.,33,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.
254,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.,33,Aircraft braking.; Image transmission signal weak. Adjust antennas and make sure they are perpendicular to flight direction of aircraft.
634,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.,125,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.
389,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.,125,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.
412,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.,125,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.
394,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,29,Aircraft braking.; RC signal lost. Aircraft will follow preset action for lost signal.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
281,Aircraft braking.; RC signal weak. Avoid blocking antennas and adjust antenna orientation.,33,Aircraft braking.; RC signal weak. Avoid blocking antennas and adjust antenna orientation.
111,Aircraft braking.; RC signal weak. Avoid blocking antennas and adjust antenna orientation.,33,Aircraft braking.; RC signal weak. Avoid blocking antennas and adjust antenna orientation.
437,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
438,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
439,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
432,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
442,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
526,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
436,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
440,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
435,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
648,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
655,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
433,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
431,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
647,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
524,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
523,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
430,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
522,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
429,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
428,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
434,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
653,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
447,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
527,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
521,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
425,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
646,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
645,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
424,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
423,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
422,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
421,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
420,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
419,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
640,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
644,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
418,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
417,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
520,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
416,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
445,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
642,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
641,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
427,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
639,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
638,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
643,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
426,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
441,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
652,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
467,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
468,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
469,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
494,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
470,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
471,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
472,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
498,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
461,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
500,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
466,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
385,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
501,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
387,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
386,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
448,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
391,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
384,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
517,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
505,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
503,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
519,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
392,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
465,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
502,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
464,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
495,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
651,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
650,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
649,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
528,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
444,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
529,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
499,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
497,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
496,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
518,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
443,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
462,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
547,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
546,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
545,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
544,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
463,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
543,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
542,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
541,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
540,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
525,Ambient light too low. Obstacle avoidance unavailable.,34,Ambient light too low. Obstacle avoidance unavailable.
506,Ambient light too low. Obstacle avoidance unavailable.; Auto landing in progress.,34,Ambient light too low. Obstacle avoidance unavailable.; Auto landing in progress.
446,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.,186,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.
654,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.,186,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.
504,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.,186,Ambient light too low. Obstacle avoidance unavailable.; Flight mode changed to Confirm Landing.
460,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,9,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
516,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,9,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
515,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,9,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
459,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,9,Ambient light too low. Obstacle avoidance unavailable.; Home point updated. RTH altitude adjusted to 100m.; Forward ambient light too low. Obstacle avoidance unavailable. Fly with caution.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
483,Ambient light too low. Obstacle avoidance unavailable.; Low battery. Auto RTH in 1 s. Press the start/stop button to cancel.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.,53,Ambient light too low. Obstacle avoidance unavailable.; Low battery. Auto RTH in 1 s. Press the start/stop button to cancel.; Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution.
