LineId,Content,EventId,EventTemplate
1,Setting new Return-To-Home altitude to nnn (nnn).,489,Setting new Return-To-Home altitude to nnn (nnn).
2,Data Recorder File Index is nnn.,420,Data Recorder File Index is nnn.
3,Setting new Maximum Flight Altitude to nnn (nnn).,305,Setting new Maximum Flight Altitude to nnn (nnn).
4,Gimbal nnn pitch axis endpoint reached.,25,Gimbal nnn pitch axis endpoint reached.
5,Your aircraft is flying in an Altitude Zone (nnn). Please fly with caution.,46,Your aircraft is flying in an Altitude Zone (nnn). Please fly with caution.
6,Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).,219,Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).
7,The remaining battery is only enough for RTH. Return home now.,86,The remaining battery is only enough for RTH. Return home now.
8,Reaching maximum altitude.,0,Reaching maximum altitude.
9,Gimbal Recenter.,408,Gimbal Recenter.
10,High Wind Velocity: Fly with caution and ensure the aircraft remains within your line of sight.,43,High Wind Velocity: Fly with caution and ensure the aircraft remains within your line of sight.
11,GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution.,473,GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution.
12,Recenter Gimbal Pan.,407,Recenter Gimbal Pan.
13,Remote controller signal weak. Adjust remote controller antennas (Code: 80002).,484,Remote controller signal weak. Adjust remote controller antennas (Code: 80002).
14,Switched to S (Sport)-mode.,475,Switched to S (Sport)-mode.
15,Remote ID functionality normal (Code: 1B080003).,197,Remote ID functionality normal (Code: 1B080003).
16,Switched to T (Tripod)-mode.,413,Switched to T (Tripod)-mode.
17,Gimbal nnn pan axis endpoint reached.,83,Gimbal nnn pan axis endpoint reached.
18,Critical low battery. Return to home or land promptly.,332,Critical low battery. Return to home or land promptly.
19,Aircraft is returning to the Home Point. Minimum RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,74,Aircraft is returning to the Home Point. Minimum RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.
20,Low battery. Return to home promptly (Code: 30183).,96,Low battery. Return to home promptly (Code: 30183).
21,"Tip: Aircraft reached maximum distance, please pay attention to flight safety.",344,"Tip: Aircraft reached maximum distance, please pay attention to flight safety."
22,Aircraft in Altitude Zone (nnn). Fly with caution (Code: 190001).,46,Aircraft in Altitude Zone (nnn). Fly with caution (Code: 190001).
23,Home Point updated. RTH altitude adjusted to nnn (Code: 3000001).,69,Home Point updated. RTH altitude adjusted to nnn (Code: 3000001).
24,Flight altitude exceeds nnn. Aircraft may be in violation of local laws and regulations. Check and make sure you have obtained proper authorization to fly in this airspace (Code: 3000006).,185,Flight altitude exceeds nnn. Aircraft may be in violation of local laws and regulations. Check and make sure you have obtained proper authorization to fly in this airspace (Code: 3000006).
