Source,Content,EventId,EventTemplate
Android,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E849,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E1206,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
Android,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E687,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
Android,mVisiblity.getValue is false,E1110,mVisiblity.getValue is <*>
Android,visible is system.call.count gt 0,E1334,visible is <*> gt <*>
Android,visible is system.message.count gt 0,E1334,visible is <*> gt <*>
Android,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",E1153,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
Android,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,E355,Destroying surface Surface(name=<*>) called by <*>
Android,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,E355,Destroying surface Surface(name=<*>) called by <*>
Android,"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E1206,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
Android,Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},E665,Screen frozen for <*> due to Window{<*> u0 <*>}
Android,"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,E1217,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
Android,"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED",E1227,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
Android,"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626",E849,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"release:lock=166121161, flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"release:lock=264232593, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",E1215,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E1206,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
Android,resumeSuspendedAutohide,E1223,resumeSuspendedAutohide
Android,querySoundEffectsEnabled...,E1202,querySoundEffectsEnabled...
Android,"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702",E849,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",E207,"Acquiring suspend blocker ""PowerManagerService.WakeLocks""."
Android,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,E687,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
Android,"notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508",E1153,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
Android,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,E111,<*>: <*> cannot be cast to <*>$Token
Android,"onTouchEvent::0, x=271.0, y=14.0",E1169,"onTouchEvent::<*>, x=<*>, y=<*>"
Android,"updateLightsLocked,turn off notificationLight",E1325,"updateLightsLocked,turn off notificationLight"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-529.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"notifyUiVisibilityChanged:vis=0x40000600, SystemUiVisibility=0x40000600",E1153,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
Android,onExpandingStarted,E1158,onExpandingStarted
Android,onTrackingStarted,E1170,onTrackingStarted
Android,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555,E355,Destroying surface Surface(name=<*>) called by <*>
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-479.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-452.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-418.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-379.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-338.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-293.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-250.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"onTouchEvent::1, x=296.0, y=327.0",E1169,"onTouchEvent::<*>, x=<*>, y=<*>"
Android,cancelPeek: false,E895,cancelPeek: <*>
Android,"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false",E989,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>"
Android,onTrackingStopped: true,E1171,onTrackingStopped: <*>
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-240.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-200.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-168.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-139.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-113.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-90.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-72.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-55.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-40.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-29.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-11.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-6.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-2.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-1.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=0.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,E671,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>
Android,logNotificationVisibilityChanges runInThread start,E1103,logNotificationVisibilityChanges runInThread start
Android,onNotificationVisibilityChanged called,E1164,onNotificationVisibilityChanged called
Android,registerCallback not in UI.,E1209,registerCallback not in UI.
Android,android.util.AndroidRuntimeException: Must execute in UI,E115,<*>: Must execute in UI
Android,*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,E9,*** register callback for <*>@<*>
Android,[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1,E814,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>
Android,[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,E815,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>
Android,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851646, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false",E1160,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>"
Android,"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10111}, uid=1000, pid=1702",E849,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
Android,"cancelNotification,index:0",E890,"cancelNotification,index:<*>"
Android,"cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227",E889,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
Android,"cancelNotificationLocked called,tell the app,reason = 1",E891,"cancelNotificationLocked called,tell the app,reason = <*>"
Android,cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111,E893,cancelNotificationLocked:<*>|<*>|<*>|<*>|<*>
Android,"cancelNotificationLocked,remove =com.tencent.mobileqq",E892,"cancelNotificationLocked,remove =<*>"
Android,"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false",E989,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-21.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-43.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-70.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-102.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-178.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-222.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-270.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,removeNotification:0|com.tencent.mobileqq|121|null|10111,E1218,removeNotification:<*>|<*>|<*>|<*>|<*>
Android,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-321.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,The change in focus caused us to need to do a layout end,E728,The change in focus caused us to need to do a layout end
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-428.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-487.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
Android,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-546.0",E1320,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
